1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mississippi St.,South Dakota St.,Tennessee St.,Santa Clara,Cornell,Stanford,Arkansas,Colgate,East Tennessee St.,UCLA,NA,NA,NA,NA,NA,NA,NA,Southeastern Louisiana,Northern State Univ.,Grambling St.,Central Missouri St.,Texas Southern,Cal State-Northridge,Minnesota,Eastern Michigan,Hamline,Northern Illinois,Bowling Green,Northern Colorado,NA,Florida A&M,NA,Toronto,Northern Arizona,Illinois,West Virginia,Georgia Tech,Texas,Southern Oregon,Oklahoma,NA,Texas,Humboldt St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida,UCLA,Virginia,Penn St.,Case Western Reserve,Clemson,North Alabama,Southeastern Louisiana,Lincoln (MO),Morgan St.,NA,NA,NA,NA,NA,NA,NA,Louisville,Tulsa,Wabash,Florida A&M,Central Michigan,Michigan,Edinboro,Colorado,Tulsa,Arizona St.,California-Davis,Montana St.,NA,NA,NA,Fresno St.,Michigan,Houston,Washington St.,NA,North Dakota St.,NA,Washington,NA,John Carroll,Virginia Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USC,Idaho,McMurry,Oregon,Rice,Prairie View A&M,Unknown,Houston,North Texas,Tulane,NA,NA,NA,NA,NA,NA,NA,West Texas A&M,Puget Sound,Virginia Tech,Morgan St.,Purdue,South Carolina,Michigan,Iowa St.,Colorado State-Pueblo,South Carolina,Colorado,NA,NA,NA,NA,NA,California,Missouri,California,NA,LSU,NA,Ohio St.,NA,NA,Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Princeton,Arkansas,Brown,North Texas,Syracuse/Army,South Carolina,Michigan,Oklahoma,Michigan St.,Iowa,NA,NA,NA,NA,NA,NA,NA,Colgate,William & Mary,New Mexico,Michigan St.,Houston,Alcorn St.,Kansas St.,Drake,Michigan St.,Jackson St.,NA,NA,NA,NA,NA,NA,NA,Colorado,Georgia,NA,NA,NA,NA,NA,NA,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minnesota St.,Virginia Tech,Southern Miss,Montana,Linfield,Georgia,Iowa St.,South Carolina,South Carolina,Pittsburgh,NA,NA,NA,NA,NA,NA,NA,Georgia,Humboldt St.,Southern Illinois,Stephen F. Austin,Texas Southern,Hillsdale,Delaware,Utah,Miss. Valley St.,Miss. Valley St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nebraska,SMU,Texas A&M,Southern Miss,Washington,Northeastern,UCLA,Wake Forest,Mississippi St.,Marshall,NA,NA,NA,NA,NA,NA,NA,Akron,Central Missouri St.,Texas A&M,Texas-Arlington,Yale,Amherst,Miami (OH),Wake Forest,Tennessee St.,Iowa St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,East Carolina,Purdue,Notre Dame,St. Norbert,Austin,Willamette,Minnesota,Sam Houston St.,Kansas St.,NA,NA,NA,NA,NA,NA,NA,Edward Waters,Texas St.,TCU,Henderson St.,Florida A&M,South Carolina St.,Arizona St.,North Carolina,SMU,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baylor,SE Oklahoma St.,Lewis University,Tennessee,Florida St.,USC,Alabama,Maryland,Houston,Tulane,NA,NA,NA,NA,NA,NA,NA,Central Missouri St.,Mississippi St.,Bishop,Texas Southern,Tennessee,Kansas,Texas A&M,Virginia St.,Tuskegee,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington,Miami (FL),Georgia,Clemson,Illinois,Boston Univ.,Northwestern,West Virginia,New Mexico,Duke,NA,NA,NA,NA,NA,NA,NA,Missouri,Pittsburgh,Kansas,Holy Cross,Missouri Southern,Indiana,Georgia,Long Beach St.,John Carroll,Northwestern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nevada,Kansas,Pittsburgh,Washington & Jefferson,Unknown,Texas A&M,Southern Miss,Minnesota,Syracuse,Puget Sound,NA,NA,NA,NA,NA,NA,NA,North Dakota,Boston Univ.,Ohio,Morris Brown,TCU,Texas-El Paso,Oklahoma,Maryland,Texas St.,Delaware St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Texas Tech,Notre Dame,California,Wake Forest,John Carroll,Cincinnati,Kansas St.,Utah St.,Baylor,Notre Dame,NA,NA,NA,NA,NA,NA,NA,Missouri,Prairie View A&M,Dayton,Michigan,Miami (OH),Lamar,Utah St.,Mississippi St.,Georgia Tech,Kent St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kansas,West Texas A&M,Rice,Boston College,Michigan,Southern,Southwest JC (MS),TCU,Arizona St.,Alabama St.,NA,NA,NA,NA,NA,NA,NA,Kent St.,Maryland,Clemson,Johnson C. Smith,Michigan,New Mexico St.,Iowa St.,Rice,North Carolina A&T,Carthage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baylor,Tulsa,Colorado,Kentucky,West Virginia,Bucknell,Duke,Springfield,New Haven,Texas,NA,NA,NA,NA,NA,NA,NA,Unknown,North Carolina St.,California Lutheran,Utah,Texas,Tulane,Ohio,Yankton,Notre Dame,San Francisco St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bloomsburg,North Carolina,Western Illinois,USC,Pittsburgh,Penn St.,Vanderbilt,Florida St.,Duke,Illinois,NA,NA,NA,NA,NA,NA,NA,Auburn,Boston College,Michigan,Stephen F. Austin,New Mex. Highlands,Clemson,Southeast Missouri St.,Kentucky,Vanderbilt,California Lutheran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drake,Holy Cross,California,Furman,Murray St.,Iowa,Notre Dame,Pomona,Sam Houston St.,SMU,NA,NA,NA,NA,NA,NA,NA,Virginia Tech,Harvard,Virginia,Clemson,Arizona,Rice,West Virginia,Michigan,Abilene Christian,Texas A&M-Commerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hardin-Simmons,Texas Tech,Ohio St.,Alabama,VMI,Florida,Illinois,Houston,Missouri,Florida,NA,NA,NA,NA,NA,NA,NA,Howard Payne,Georgia,Arkansas St.,Wisconsin–Superior,Moorhead St.,Florida,Penn St.,TCU,North Texas,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pacific,Santa Clara,California,Boise St.,Idaho,Temple,Vanderbilt,Princeton,Kentucky,West Chester,NA,NA,NA,NA,NA,NA,NA,South Carolina St.,LSU,Troy,BYU,West. New Mexico,Louisiana,Central Missouri St.,Oklahoma,Widener,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TCU,Purdue,Nevada,Unknown,Colorado St.,Unknown,Texas St.,Marquette,Houston,Notre Dame,NA,NA,NA,NA,NA,NA,NA,Minnesota,Kent St.,Minnesota,Arkansas,Georgia,Boston College,Toledo,Kentucky St.,Boise St.,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oregon St.,Florida St.,Southern Miss,Northwestern,Washington St.,Virginia Tech,Puget Sound,Ohio St.,Temple,North Carolina,NA,NA,NA,NA,NA,NA,NA,Wake Forest,Washington,Weber St.,North Dakota St.,Texas Southern,Washington St.,Louisville,Howard Payne,North Carolina St.,Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USC,Wisconsin,Miami (FL),Notre Dame,Rhode Island,Tulane,San Jose St.,Thiel,Middle Tenn. St.,Oregon,NA,NA,NA,NA,NA,NA,NA,Temple,Fairmont St.,South Carolina,Wisconsin–Oshkosh,Tulane,Ashland,Southern,Heidelberg,Rice,Central Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auburn,Iowa,Illinois,Stanford,USC,Marquette,Colorado,Arkansas St.,Georgia Tech,Boston College,NA,NA,NA,NA,NA,NA,NA,Marshall,Rhode Island,Texas,Eastern Michigan,Virginia Union,Whitworth,California Lutheran,Notre Dame,Auburn,UCLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hardin-Simmons,Pittsburgh,Wake Forest,VMI,Wisconsin,San Francisco,Middle Tenn. St.,Northwestern,Texas,Denver,NA,NA,NA,NA,NA,NA,NA,La-Monroe,San Diego St.,Texas A&M-Commerce,South Carolina St.,UCLA,Minnesota,Fort Valley St.,Northern Illinois,Ohio St.,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rutgers,Rutgers,Case Western Reserve,Duke,Oklahoma,Oregon,Beloit,Lamar,Pittsburgh,Minnesota,NA,NA,NA,NA,NA,NA,NA,San Jose St.,Iowa St.,Texas St.,Dayton,Arizona,Virginia St.,North Texas,Mayville St.,Oklahoma,Southern Miss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,Tennessee,Maryland,USC,Northwestern,Illinois,Southern Illinois,Arizona,Utah St.,North Carolina Central,NA,NA,NA,NA,NA,NA,NA,Fresno St.,Livingstone,New Mexico St.,Michigan,USC,Boise St.,Santa Clara,Villanova,Stanford,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Virginia,Hardin-Simmons,Prairie View A&M,Minnesota,South Carolina,TCU,Michigan St.,Kansas,North Alabama,Washington,NA,NA,NA,NA,NA,NA,NA,Maryland,Nebraska-Omaha,Arizona St.,Northern Arizona,North Texas,Unknown,Kansas St.,Wisconsin–Milwaukee,Morris Brown,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan St.,Detroit Mercy,Oregon,Northwestern,Marquette,Midwestern St.,Alabama,Furman,Kansas St.,Alabama,NA,NA,NA,NA,NA,NA,NA,Michigan St.,Guilford,Georgia,Oklahoma St.,Oregon,William & Mary,Northwestern,Rice,Nebraska,Villanova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wyoming,Tulane,Texas,Tennessee,Houston,Utah St.,Central Michigan,Oregon St.,Minnesota,Washington St.,NA,NA,NA,NA,NA,NA,NA,Purdue,Memphis,Minnesota,Unknown,Memphis,Missouri Valley,SMU,BYU,Weber St.,Indiana St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Idaho,George Washington,Unknown,Ozarks (AR),Eureka (IL),Tennessee,Wake Forest,Washington St.,Tennessee,West Virginia Tech,NA,NA,NA,NA,NA,NA,NA,Clemson,Ark-Pine Bluff,Iowa,UCLA,Iowa St.,San Jose St.,North Carolina,Cornell,Unknown,Western Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,Kentucky St.,NA,Montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auburn,Memphis,Northern Michigan,North Carolina Central,Utah St.,San Diego St.,William Penn,Utah,Colorado St.,La-Monroe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvard,Muhlenberg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Oklahoma,Unknown,UCLA,Auburn,Yale,Tampa,Stanford,Langston,Yale,Houston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Jose St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BYU,Kent St.,Colorado,Louisiana Tech,Utah St.,Wisconsin,Cameron,Harding,Eastern Michigan,San Diego St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarleton St.,Upsala,Florida A&M,American Int.,Davidson,Unknown,Arizona,Arizona St.,Morgan St.,Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northwestern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delta St.,UC Santa Barbara,Olivet,Wisconsin–Platteville,Massachusetts,McNeese St.,Baylor,Widener,Langston,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jackson St.,West Virginia,Tennessee,Florida St.,Tulane,Jackson St.,North Dakota St.,USC,Drake,Tulsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Furman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Virginia,La-Monroe,Penn St.,East Tennessee St.,Prairie View A&M,LSU,Notre Dame,Truman St.,Georgia Tech,Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wake Forest,Florida St.,Louisiana Tech,Florida A&M,Stephen F. Austin,Massachusetts,Norfolk St.,Grambling St.,Miami (FL),Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern Connecticut St.,Norfolk St.,Stanford,Central Michigan,Toledo,Yankton,Kings Point,Richmond,Johnson C. Smith,Michigan St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minnesota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mississippi,New Mexico St.,Tulsa,Wesern Illinois,South Carolina,Massachusetts,Texas Tech,Southern,Oklahoma,Washington St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington & Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sacramento St.,West Texas A&M,Unknown,San Jose St.,Auburn,Arkansas Tech,Duke,Arkansas St.,Langston,Miami (OH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pittsburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Youngstown St.,Southern,Texas-Arlington,Alcorn St.,Kentucky,Tulane,Florida St.,Long Beach St.,Oklahoma,Colorado St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florida A&M,West Virginia,Miami (OH),Youngstown St.,Norfolk St.,Wichita St.,Washington,Michigan,Southern,Emporia St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Georgia Tech,Jackson St.,Virginia,Washington St.,New Mex. Highlands,Georgia,South Carolina,Stephen F. Austin,Wesern Illinois,Colorado St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
