"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
NA,NA,NA,NA,NA,NA,NA,"Texas","Alabama","Wake Forest","Alabama","Penn St.","North Dakota St.",NA,"Waynesburg","SMU","South Carolina","Oregon","Stanford","Notre Dame","TCU","SMU","Vanderbilt","Texas A&M-Commerce",NA,"Tennessee","Wichita St.","Texas A&M-Commerce","Georgia Tech","Central Michigan","Jackson St.","Lamar","Nebraska-Omaha","Utah"
NA,NA,NA,NA,NA,NA,NA,"Penn St.","Nebraska","Tulsa","USC","Northwestern","Tulsa",NA,"Purdue","Nebraska-Omaha","Abilene Christian","Princeton","Unknown","Unknown","San Diego City Coll","Fresno St.","Clemson","Pittsburgh",NA,"Colgate","Western Michigan","Houston","Yale","McNeese St.","Central Washington","Hamline","Prairie View A&M","Kansas St."
NA,NA,NA,NA,NA,NA,NA,"Western Maryland","Utah","Texas","Duke","Texas Tech","Michigan",NA,"Fairmont St.","Montana","Temple","Bucknell","LSU","Nebraska","Wake Forest","South Dakota St.","Virginia Tech","Franklin & Marshall",NA,NA,NA,NA,NA,NA,"Florida A&M","Washington","Auburn","East. Washington"
NA,NA,NA,NA,NA,NA,NA,"Unknown","Alabama","Texas-El Paso","Florida","LSU","San Francisco",NA,"George Washington","Duke","Pittsburgh","Arkansas City JC","West Virginia","Villanova","Rice","Illinois","Illinois","UCLA",NA,NA,NA,NA,NA,NA,"Arkansas","Colorado","Georgia Tech","C.W. Post"
NA,NA,NA,NA,NA,NA,NA,"Pittsburgh","Notre Dame","New Mexico","Washington","Ohio St.","Tennessee",NA,"San Jose St.","West Texas A&M","Vanderbilt","Miami (FL)","Detroit Mercy","Unknown","Texas A&M-Commerce","Stanford","Michigan St.","Purdue",NA,NA,NA,NA,NA,NA,"Nebraska","Texas Southern","Kentucky","Prairie View A&M"
NA,NA,NA,NA,NA,NA,NA,"Idaho","Colorado","Texas Tech","Northwestern","Georgia","Texas A&M",NA,"North Carolina St.","San Francisco","Minnesota","Tennessee","Memphis","San Jose St.","Rice","Wake Forest","Texas A&M-Commerce","Baylor",NA,NA,NA,NA,NA,NA,"Corpus Christi","Drake","Northwestern","Tennessee St."
NA,NA,NA,NA,NA,NA,NA,"LSU","Unknown","Kansas","North Carolina","Illinois","Gustavus Adolphus",NA,"Dakota Wesleyan","Mississippi St.","Vanderbilt","Tennessee","Clemson","Cal Poly-San Luis Obispo","Wake Forest","Furman","Tennessee","Indiana",NA,NA,NA,NA,NA,NA,"North Carolina St.","Kentucky","UCLA","Akron"
NA,NA,NA,NA,NA,NA,NA,"Drake","Oregon","Georgia","UCLA","Iowa","Unknown",NA,"Santa Clara","San Francisco","California","Minnesota","West Virginia","Michigan St.","Texas","West Virginia","Texas Tech","Missouri",NA,NA,NA,NA,NA,NA,"Simpson","Auburn","Boston Col.","Purdue"
NA,NA,NA,NA,NA,NA,NA,"Texas","Indiana","Oklahoma St.","Utah","Northwestern","BYU",NA,"Ohio St.","UCLA","Pacific","Wichita St.","Tennessee Tech","Arizona","McNeese St.","Vanderbilt","Texas A&M-Commerce","Unknown",NA,NA,NA,NA,NA,NA,"East. Illinois","Springfield","Syracuse","Cincinnati"
NA,NA,NA,NA,NA,NA,NA,"Wisconsin","West Virginia","Oklahoma","Ohio St.","Baylor","Toledo",NA,"Pennsylvania","Mansfield","Missouri","Wittenberg","South Carolina","Holy Cross","Michigan St.","Evansville","Marshall","Army",NA,NA,NA,NA,NA,NA,"USC","Alabama A&M","Grambling St.","Arkansas"
NA,NA,NA,NA,NA,NA,NA,"Notre Dame","Miami (FL)","Georgetown (DC)","Georgia Tech","Michigan","TCU",NA,"Tulane","Colgate","St. Ambrose","North Dakota St.","Duke","Michigan St.","San Jose St.","Florida","Indiana","Florida A&M",NA,NA,NA,NA,NA,NA,"Purdue","Texas Tech","Memphis","Texas-El Paso"
NA,NA,NA,NA,NA,NA,NA,"Washington St.","Columbia","USC","Georgia","Kansas","Notre Dame",NA,"Ohio St.","Michigan St.","Rutgers","Duke","LSU","Evansville","Rice","West Texas A&M","Unknown","Auburn",NA,NA,NA,NA,NA,NA,"Morgan St.","St. Augustine's","Weber St.","San Diego St."
NA,NA,NA,NA,NA,NA,NA,"Charleston (WV)","Mississippi St.","Minnesota","Purdue","South Carolina","Villanova",NA,"Boston Univ.","Florida St.","Indiana","Syracuse","Alabama","Rhode Island","Abilene Christian","Georgia","Boston Col.","Bradley",NA,NA,NA,NA,NA,NA,"Penn St.","Dayton","SMU","North Carolina Central"
NA,NA,NA,NA,NA,NA,NA,"Haverford","Rice","USC","Pittsburgh","Yale","Virginia",NA,"Northwestern","Denver","Florida","Maryland","Washburn","Wyoming","Clemson","St. Norbert","Memphis","Colby",NA,NA,NA,NA,NA,NA,"Tulsa","Kent St.","Oklahoma","Grambling St."
NA,NA,NA,NA,NA,NA,NA,"California","Tulsa","Creighton","Marquette","Purdue","Rice",NA,"Colgate","Shippensburg","West Texas A&M","Florida","Georgia Tech","Indiana","Kentucky","Michigan St.","St. Norbert","Sacramento St.",NA,NA,NA,NA,NA,NA,"Albion","North Carolina St.","Clarion","UC Santa Barbara"
NA,NA,NA,NA,NA,NA,NA,"Purdue","Dartmouth","Wichita St.","California","Case Western Reserve","Texas Tech",NA,"Illinois","Hillsdale","Lincoln (MO)","Houston","Florida St.","Missouri","Dayton","Miami (OH)","TCU","Unknown",NA,NA,NA,NA,NA,NA,"Boston Col.","South Carolina","Tulane","George Fox"
NA,NA,NA,NA,NA,NA,NA,"Florida","Duquesne","Brown","Kansas St.","Purdue","Mississippi St.",NA,"Fresno St.","Wofford","Elon","Wake Forest","Mississippi St.","Ball St.","Kentucky","Col. of Idaho","North Texas","Vanderbilt",NA,NA,NA,NA,NA,NA,"Florida A&M","Missouri","La Verne","Tennessee St."
NA,NA,NA,NA,NA,NA,NA,"Pennsylvania","Texas","Washington St.","Missouri","Denver","Nebraska",NA,"Harding","Iowa","Utah St.","UCLA","Ohio St.","SE Missouri St.","Minnesota","Lamar","San Jose St.","Houston",NA,NA,NA,NA,NA,NA,"Minnesota","Unknown","Houston","Arizona St."
NA,NA,NA,NA,NA,NA,NA,"Arizona","Northwestern","Bucknell","Oklahoma St.","Utah","Pittsburgh",NA,"Rice","Texas","Kansas","Rice","Detroit Mercy","USC","Florida","Catawba","South Dakota St.","Unknown",NA,NA,NA,NA,NA,NA,"Baylor","San Jose St.","Notre Dame","Florida St."
NA,NA,NA,NA,NA,NA,NA,"South Carolina","Mississippi St.","Denver","Boston Univ.","Wisconsin–LaCrosse","Notre Dame",NA,"USC","Alabama","Washington St.","Tennessee","Baldwin-Wallace","Kansas St.","Sam Houston St.","Denison","Florida","Ohio St.",NA,NA,NA,NA,NA,NA,"Cal State-Chico","Illinois","USC","Texas A&M"
NA,NA,NA,NA,NA,NA,NA,"Utah","Michigan","Texas A&M","Mississippi","Illinois",NA,NA,"Wisconsin–Superior","Louisiana","Pacific","UCLA","Elon","Tyler JC","Georgia Tech","South Dakota","Missouri State","Buffalo",NA,NA,NA,NA,NA,NA,"Indiana","Midland Lutheran","Dartmouth","Texas A&M"
NA,NA,NA,NA,NA,NA,NA,"Delaware","Boston Col.","Harvard","Oklahoma","North Carolina",NA,NA,"St. Bonaventure","Clemson","Florida","Michigan St.","Virginia Tech","Illinois","Pittsburgh","Villanova","Baylor","Syracuse",NA,NA,NA,NA,NA,NA,"Findlay","Ohio St.","Pacific","Ottawa (KS)"
NA,NA,NA,NA,NA,NA,NA,NA,"Creighton","Oregon",NA,NA,NA,NA,"Holy Cross","Northwestern","Tulane","Dayton","Arkansas St.","Pacific","UCLA","Michigan","Auburn","Unknown",NA,NA,NA,NA,NA,NA,"Purdue","Tuskegee","Utah","Maryland"
NA,NA,NA,NA,NA,NA,NA,NA,"Arkansas","Duke",NA,NA,NA,NA,"Stanford","Chattanooga","Bucknell","Texas A&M-Commerce","Alabama","Baylor","West Texas A&M","Grambling St.","UCLA","Virginia Tech",NA,NA,NA,NA,NA,NA,"Grambling St.","Nebraska-Kearney","Unknown","USC"
NA,NA,NA,NA,NA,NA,NA,NA,"Washington St.","Wisconsin",NA,NA,NA,NA,"Dayton","Wisconsin–LaCrosse","Tennessee","Minnesota","Maryland","Purdue","Unknown","Duke","SMU","USC",NA,NA,NA,NA,NA,NA,"Temple","Lake Forest","San Diego St.","Minnesota"
NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin","William & Mary",NA,NA,NA,NA,"William & Mary","USC","Maryland","Idaho","New Mexico St.","Bucknell","UCLA","Minnesota","Wake Forest","Unknown",NA,NA,NA,NA,NA,NA,"South Dakota St.","Franklin (IN)","Mississippi","Ark-Pine Bluff"
NA,NA,NA,NA,NA,NA,NA,NA,"Scranton","West Virginia",NA,NA,NA,NA,"Nevada","Ohio St.","Bucknell","USC","Long Beach CC","Missouri","Oklahoma St.","Miami (OH)","Memphis","Syracuse",NA,NA,NA,NA,NA,NA,"Morgan St.","Pomona","Syracuse","New Mexico St."
NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi St.","Arkansas",NA,NA,NA,NA,"Detroit Mercy","San Jose St.","Alabama","Pennsylvania","Boston Univ.","Minnesota","Kansas St.","Louisville","Iowa","Louisville",NA,NA,NA,NA,NA,NA,NA,"Colorado St.","Baylor","Nebraska"
NA,NA,NA,NA,NA,NA,NA,NA,"Holy Cross","Idaho",NA,NA,NA,NA,"Washington St.","Cornell","Hardin-Simmons","Bethune-Cookman","Pennsylvania","Wake Forest","Missouri State","Vanderbilt","Central Washington","Ohio St.",NA,NA,NA,NA,NA,NA,NA,"Oklahoma St.","Akron","C.W. Post"
NA,NA,NA,NA,NA,NA,NA,NA,"North Carolina St.","Colorado",NA,NA,NA,NA,"Miami (OH)","West Virginia","Southern Miss","USC","Oklahoma St.","Chattanooga","Mississippi","Duke","Oklahoma St.","Capital",NA,NA,NA,NA,NA,NA,NA,"Houston","Rhode Island","Notre Dame"
NA,NA,NA,NA,NA,NA,NA,NA,"Cornell","Texas A&M",NA,NA,NA,NA,"Rice","Tennessee","S.F. Austin","Colorado St.","Baylor","Purdue","Kansas","Georgia Tech","Central Michigan","Georgia",NA,NA,NA,NA,NA,NA,NA,"New Mexico","Wisconsin","Notre Dame"
NA,NA,NA,NA,NA,NA,NA,NA,"Kansas","St. Vincent",NA,NA,NA,NA,"Pacific","Mississippi St.","Cincinnati","Arizona St.","North Texas","Maryland","Wheaton","Kansas","Minnesota","California",NA,NA,NA,NA,NA,NA,NA,"Harvard","Arizona","Texas A&M-Kingsville"
NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin","Unknown",NA,NA,NA,NA,"Austin","St. Mary's (CA)","Boston Univ.","Syracuse","Pasadena CC","Cal Poly-San Luis Obispo","Vanderbilt","Iowa St.","USC","Kansas",NA,NA,NA,NA,NA,NA,NA,"Southern","Western Washington","USC"
NA,NA,NA,NA,NA,NA,NA,NA,"Baylor","Alabama",NA,NA,NA,NA,"Bowling Green","Arkansas","Illinois","Kansas","Kansas","Michigan","UCLA","Grambling St.","Wake Forest","Southern Miss",NA,NA,NA,NA,NA,NA,NA,"North Carolina St.","Florida St.","Texas Tech"
NA,NA,NA,NA,NA,NA,NA,NA,"Texas A&M","Notre Dame",NA,NA,NA,NA,"Oregon St.","Loras","Kentucky","Washington","Syracuse","Purdue","Utah","Tulane","Middle Tenn. St.","Ball St.",NA,NA,NA,NA,NA,NA,NA,"NE State (OK)","Minnesota-Duluth","Tennessee St."
NA,NA,NA,NA,NA,NA,NA,NA,"Holy Cross","Michigan",NA,NA,NA,NA,"Syracuse","North Texas","TCU","Penn St.","Harvard","Merchant Marine","Tulane","USC","Chattanooga","Indiana",NA,NA,NA,NA,NA,NA,NA,"Michigan","Jackson St.","Texas St."
NA,NA,NA,NA,NA,NA,NA,NA,"Missouri","Denver",NA,NA,NA,NA,"Oregon","Arkansas","Texas A&M","Texas A&M","Marquette","Virginia Tech","Stanford","Arizona St.","Purdue","Wisconsin",NA,NA,NA,NA,NA,NA,NA,"Tennessee St.","Fisk","Drake"
NA,NA,NA,NA,NA,NA,NA,NA,"Colorado Col.","Miami (OH)",NA,NA,NA,NA,"Michigan St.","Georgia Tech","SMU","John Carroll","Houston","Arkansas","Arkansas","Wisconsin","Auburn","Notre Dame",NA,NA,NA,NA,NA,NA,NA,"Boston Col.","New Mexico","Southern Illinois"
NA,NA,NA,NA,NA,NA,NA,NA,"Georgia","USC",NA,NA,NA,NA,"Michigan St.","Oregon","New Mexico","Baylor","Georgia Tech","Washington St.","Oklahoma St.","St. Vincent","Northwestern","South Carolina",NA,NA,NA,NA,NA,NA,NA,"Ithaca","Morgan St.","Johnson C. Smith"
NA,NA,NA,NA,NA,NA,NA,NA,"Georgia","Rice",NA,NA,NA,NA,"SE Oklahoma St.","Stetson","Ohio St.","Cincinnati","Chattanooga","Hofstra","Alabama","Unknown","Minnesota","Colorado",NA,NA,NA,NA,NA,NA,NA,"Tennessee St.","Toledo","Alcorn St."
NA,NA,NA,NA,NA,NA,NA,NA,"Indiana","Marquette",NA,NA,NA,NA,"Minnesota","Wisconsin","SMU","Arizona St.","Michigan St.","Washington St.","Virginia","Ohio St.","Texas Tech","Northwestern St. (LA)",NA,NA,NA,NA,NA,NA,NA,"St. Bonaventure","Toledo","Linfield"
NA,NA,NA,NA,NA,NA,NA,NA,"Washington St.","Vanderbilt",NA,NA,NA,NA,"Lehigh","Wisconsin","Baylor","Houston","North Carolina","Pittsburgh","Wisconsin","Ohio St.","Florida A&M","Rutgers",NA,NA,NA,NA,NA,NA,NA,"Oklahoma","Alabama","USC"
NA,NA,NA,NA,NA,NA,NA,NA,"Villanova","Northwestern",NA,NA,NA,NA,"Kentucky","Rice","Oklahoma St.","LSU","Villanova","Wisconsin","Arkansas","Georgia Tech","USC","Indiana",NA,NA,NA,NA,NA,NA,NA,"Houston","Boston Univ.","Georgia Tech"
NA,NA,NA,NA,NA,NA,NA,NA,"East Stroudsburg","Alabama",NA,NA,NA,NA,"Texas","Michigan","Baylor","Morgan St.","Notre Dame","Marquette","Texas A&M-Commerce","Montana St.","Lock Haven","Bowling Green",NA,NA,NA,NA,NA,NA,NA,"Georgia Tech","Missouri","North Texas"
NA,NA,NA,NA,NA,NA,NA,NA,"LSU","Utah",NA,NA,NA,NA,"Dayton","Texas Tech","Arizona St.","West Chester","Nebraska-Omaha","Tennessee","Princeton","St. Thomas","Texas Tech","Richmond",NA,NA,NA,NA,NA,NA,NA,"Tulsa","Jackson St.","Ark-Pine Bluff"
NA,NA,NA,NA,NA,NA,NA,NA,"Pennsylvania","Ohio St.",NA,NA,NA,NA,"Washington & Jefferson","Illinois","Maryland","Baylor","VMI","Unknown","Miami (OH)","Fresno St.","Miami (OH)","Rice",NA,NA,NA,NA,NA,NA,NA,"USC","Jackson St.","Doane"
NA,NA,NA,NA,NA,NA,NA,NA,"SMU","Minnesota",NA,NA,NA,NA,"Maryland","Wyoming","Texas A&M","USC","Benedictine","Sam Houston St.","Purdue","Sul Ross St.","Missouri S&T","West Texas A&M",NA,NA,NA,NA,NA,NA,NA,"Iowa","Northern Michigan","Notre Dame"
NA,NA,NA,NA,NA,NA,NA,NA,"Stanford","Detroit Mercy",NA,NA,NA,NA,"North Texas","Charleston (WV)","Kentucky","Mississippi St.","William & Mary","Southern Illinois","Northwestern","Michigan","Washington St.","Auburn",NA,NA,NA,NA,NA,NA,NA,"Nebraska","Colorado","Bowling Green"
NA,NA,NA,NA,NA,NA,NA,NA,"Colgate","Marquette",NA,NA,NA,NA,"Arkansas","West Alabama","Notre Dame","UCLA","Michigan St.","Florida","Cornell","Minnesota","West Texas A&M","Florida",NA,NA,NA,NA,NA,NA,NA,"Rutgers","Grambling St.","Tennessee"
NA,NA,NA,NA,NA,NA,NA,NA,"American Int.","Pittsburgh",NA,NA,NA,NA,"Alabama","Loras","Alabama","New Mexico","Unknown","Ohio St.","California","Unknown","Northwestern","Texas",NA,NA,NA,NA,NA,NA,NA,"East. Michigan","Texas Southern","East. Montana"
NA,NA,NA,NA,NA,NA,NA,NA,"Notre Dame","Alabama",NA,NA,NA,NA,"Lawrence","Missouri","Louisville","USC","Tulane","Chattanooga","Western Kentucky","Tennessee","Maryland","Rutgers",NA,NA,NA,NA,NA,NA,NA,"Prairie View A&M","Colorado","Texas Tech"
NA,NA,NA,NA,NA,NA,NA,NA,"Texas","Oklahoma St.",NA,NA,NA,NA,"Texas","Abilene Christian","St. Bonaventure","Tennessee St.","Mississippi St.","Ohio St.","Wisconsin","Hardin-Simmons","Hardin-Simmons","Washington",NA,NA,NA,NA,NA,NA,NA,"Miami (OH)","Colorado","Houston"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maryland","Kentucky","Minnesota","Mississippi St.","Notre Dame","Cincinnati","Shepherd","Colorado","Michigan","Missouri Valley",NA,NA,NA,NA,NA,NA,NA,"West Texas A&M","Montana St.","UC Santa Barbara"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vanderbilt","Arkansas","Maryland","Colorado","Minnesota","William & Mary","Florida","TCU","Jacksonville St.","Notre Dame",NA,NA,NA,NA,NA,NA,NA,"Louisiana","BYU","Southern Miss"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi St.","South Dakota St.","Tennessee St.","Santa Clara","Cornell","Stanford","Arkansas","Colgate","East Tennessee St.","UCLA",NA,NA,NA,NA,NA,NA,NA,"Southeastern Louisiana","Northern State Univ.","Grambling St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida","UCLA","Virginia","Penn St.","Case Western Reserve","Clemson","North Alabama","Southeastern Louisiana","Lincoln (MO)","Morgan St.",NA,NA,NA,NA,NA,NA,NA,"Louisville","Tulsa","Wabash"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USC","Idaho","McMurry","Oregon","Rice","Prairie View A&M","Unknown","Houston","North Texas","Tulane",NA,NA,NA,NA,NA,NA,NA,"West Texas A&M","Puget Sound","Virginia Tech"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Princeton","Arkansas","Brown","North Texas","Syracuse/Army","South Carolina","Michigan","Oklahoma","Michigan St.","Iowa",NA,NA,NA,NA,NA,NA,NA,"Colgate","William & Mary","New Mexico"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minnesota St.","Virginia Tech","Southern Miss","Montana","Linfield","Georgia","Iowa St.","South Carolina","South Carolina","Pittsburgh",NA,NA,NA,NA,NA,NA,NA,"Georgia","Humboldt St.","Southern Illinois"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nebraska","SMU","Texas A&M","Southern Miss","Washington","Northeastern","UCLA","Wake Forest","Mississippi St.","Marshall",NA,NA,NA,NA,NA,NA,NA,"Akron","Central Missouri St.","Texas A&M"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California","East Carolina","Purdue","Notre Dame","St. Norbert","Austin","Willamette","Minnesota","Sam Houston St.","Kansas St.",NA,NA,NA,NA,NA,NA,NA,"Edward Waters","Texas St.","TCU"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baylor","SE Oklahoma St.","Lewis University","Tennessee","Florida St.","USC","Alabama","Maryland","Houston","Tulane",NA,NA,NA,NA,NA,NA,NA,"Central Missouri St.","Mississippi St.","Bishop"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington","Miami (FL)","Georgia","Clemson","Illinois","Boston Univ.","Northwestern","West Virginia","New Mexico","Duke",NA,NA,NA,NA,NA,NA,NA,"Missouri","Pittsburgh","Kansas"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada","Kansas","Pittsburgh","Washington & Jefferson","Unknown","Texas A&M","Southern Miss","Minnesota","Syracuse","Puget Sound",NA,NA,NA,NA,NA,NA,NA,"North Dakota","Boston Univ.","Ohio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas Tech","Notre Dame","California","Wake Forest","John Carroll","Cincinnati","Kansas St.","Utah St.","Baylor","Notre Dame",NA,NA,NA,NA,NA,NA,NA,"Missouri","Prairie View A&M","Dayton"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas","West Texas A&M","Rice","Boston Col.","Michigan","Southern","Southwest JC (MS)","TCU","Arizona St.","Alabama St.",NA,NA,NA,NA,NA,NA,NA,"Kent St.","Maryland","Clemson"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baylor","Tulsa","Colorado","Kentucky","West Virginia","Bucknell","Duke","Springfield","New Haven","Texas",NA,NA,NA,NA,NA,NA,NA,"Unknown","North Carolina St.","California Lutheran"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bloomsburg","North Carolina","Western Illinois","USC","Pittsburgh","Penn St.","Vanderbilt","Florida St.","Duke","Illinois",NA,NA,NA,NA,NA,NA,NA,"Auburn","Boston Col.","Michigan"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drake","Holy Cross","California","Furman","Murray St.","Iowa","Notre Dame","Pomona","Sam Houston St.","SMU",NA,NA,NA,NA,NA,NA,NA,"Virginia Tech","Harvard","Virginia"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardin-Simmons","Texas Tech","Ohio St.","Alabama","VMI","Florida","Illinois","Houston","Missouri","Florida",NA,NA,NA,NA,NA,NA,NA,"Howard Payne","Georgia","Arkansas St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Santa Clara","California","Boise St.","Idaho","Temple","Vanderbilt","Princeton","Kentucky","West Chester",NA,NA,NA,NA,NA,NA,NA,"South Carolina St.","LSU","Troy"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU","Purdue","Nevada","Unknown","Colorado St.","Unknown","Texas St.","Marquette","Houston","Notre Dame",NA,NA,NA,NA,NA,NA,NA,"Minnesota","Kent St.","Minnesota"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oregon St.","Florida St.","Southern Miss","Northwestern","Washington St.","Virginia Tech","Puget Sound","Ohio St.","Temple","North Carolina",NA,NA,NA,NA,NA,NA,NA,"Wake Forest","Washington","Weber St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USC","Wisconsin","Miami (FL)","Notre Dame","Rhode Island","Tulane","San Jose St.","Thiel","Middle Tenn. St.","Oregon",NA,NA,NA,NA,NA,NA,NA,"Temple","Fairmont St.","South Carolina"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn","Iowa","Illinois","Stanford","USC","Marquette","Colorado","Arkansas St.","Georgia Tech","Boston Col.",NA,NA,NA,NA,NA,NA,NA,"Marshall","Rhode Island","Texas"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hardin-Simmons","Pittsburgh","Wake Forest","VMI","Wisconsin","San Francisco","Middle Tenn. St.","Northwestern","Texas","Denver",NA,NA,NA,NA,NA,NA,NA,"La-Monroe","San Diego St.","Texas A&M-Commerce"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rutgers","Rutgers","Case Western Reserve","Duke","Oklahoma","Oregon","Beloit","Lamar","Pittsburgh","Minnesota",NA,NA,NA,NA,NA,NA,NA,"San Jose St.","Iowa St.","Texas St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois","Tennessee","Maryland","USC","Northwestern","Illinois","Southern Illinois","Arizona","Utah St.","North Carolina Central",NA,NA,NA,NA,NA,NA,NA,"Fresno St.","Livingstone","New Mexico St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Virginia","Hardin-Simmons","Prairie View A&M","Minnesota","South Carolina","TCU","Michigan St.","Kansas","North Alabama","Washington",NA,NA,NA,NA,NA,NA,NA,"Maryland","Nebraska-Omaha","Arizona St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan St.","Detroit Mercy","Oregon","Northwestern","Marquette","Midwestern St.","Alabama","Furman","Kansas St.","Alabama",NA,NA,NA,NA,NA,NA,NA,"Michigan St.","Guilford","Georgia"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming","Tulane","Texas","Tennessee","Houston","Utah St.","Central Michigan","Oregon St.","Minnesota","Washington St.",NA,NA,NA,NA,NA,NA,NA,"Purdue","Memphis","Minnesota"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Idaho","George Washington","Unknown","Ozarks (AR)","Eureka (IL)","Tennessee","Wake Forest","Washington St.","Tennessee","West Virginia Tech",NA,NA,NA,NA,NA,NA,NA,"Clemson","Ark-Pine Bluff","Iowa"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona","Kentucky St.",NA,"Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn","Memphis","Northern Michigan"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvard","Muhlenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central Oklahoma","Unknown","UCLA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Jose St.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BYU","Kent St.","Colorado"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tarleton St.","Upsala","Florida A&M"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northwestern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delta St.","UC Santa Barbara","Olivet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson St.","West Virginia","Tennessee"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Furman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Virginia","La-Monroe","Penn St."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wake Forest","Florida St.","Louisiana Tech"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern Connecticut St.","Norfolk St.","Stanford"
