"1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"Tennessee","Santa Clara","North Carolina","Holy Cross","USC","Fordham","Holy Cross","Oregon","Texas","Marquette","Purdue","Pennsylvania","Hobart","Georgia","Villanova","Arizona St.","Ohio St.","Kentucky","Langston","Tennessee","West Virginia","Michigan","Illinois","Syracuse","Cincinnati","Memphis","Mississippi","Bowling Green","Mississippi St.","Penn St.","Arizona St.","San Diego St.","Arkansas","Texas-El Paso"
"SMU","Pittsburgh","Notre Dame","North Carolina","Temple","Michigan","Nebraska","Boston Col.","Hobart","California","Tennessee","Notre Dame","Michigan","Oregon","LSU","Michigan St.","Wyoming","Kentucky","William & Mary","Auburn","Michigan St.","UCLA","Maryland","Michigan","Oregon","Muskingum","Boston Col.","Mississippi St.","LSU","Miami (FL)","Iowa","Washington St.","Wyoming","Pacific"
"TCU","Rhodes","Georgia Tech","Texas A&M","Tulane","Pennsylvania","Georgetown (DC)","Texas","Unknown","Oregon","Wake Forest","Northwestern","Temple","Scranton","Penn St.","Tulane","Colorado","Ohio St.","Oklahoma St.","Colorado","Iowa","Minnesota","Georgia Tech","Texas A&M","Marquette","Southern Illinois","Arizona","Villanova","Penn St.","Mississippi","Ohio St.","Utah St.","Southern Miss","Penn St."
"Purdue","Minnesota","Mississippi St.","Wisconsin","Ohio St.","Boston Col.","Iowa","Stanford","Boston Col.","Michigan","Utah","USC","Virginia","Wisconsin","Pittsburgh","Pennsylvania","North Carolina St.","Oklahoma","Maryland","Miami (FL)","Purdue","Syracuse","Idaho","Villanova","Northwestern","Pittsburgh","TCU","Nebraska","Wisconsin","Florida St.","Indiana","Louisville","Illinois","California"
"SMU","Washington","Ohio St.","Clemson","Scranton","Oregon","Texas A&M","Notre Dame","SMU","Iowa","UCLA","SMU","Minnesota","Indiana","Oregon","Rice","Baylor","Georgia Tech","West Virginia","Florida St.","Richmond","Central Michigan","Lehigh","Oklahoma St.","Wichita St.","Tulane","Texas Tech","Mississippi","Michigan","Alabama","Tennessee","Weber St.","Auburn","SMU"
"Oregon","Denver","Arkansas","Baylor","Oregon","Arkansas","Tulsa","Union (TN)","Wake Forest","Indiana","Texas A&M","Indiana","Ohio St.","San Francisco","Purdue","Texas A&M","Illinois","Nebraska","Maryland","Notre Dame","Ohio St.","Georgia Tech","Pittsburgh","USC","Mississippi","Wisconsin","Clemson","Florida","TCU","Baylor","Mississippi St.","Duke","Penn St.","Kansas"
"Minnesota","Kentucky","Texas Tech","Minnesota","Purdue","Tennessee","Texas","Stanford","UCLA","West Texas A&M","Oklahoma","Cincinnati","Notre Dame","Georgia Tech","LSU","Lehigh","Unknown","Wake Forest","Notre Dame","Texas A&M","Colorado","Stanford","Purdue","VMI","Md-Eastern Shore","Virginia Tech","Texas-El Paso","Tulsa","Texas A&M-Kingsville","Stanford","Illinois","Utah St.","Grambling St.","Tulane"
"TCU","Tulsa","California","Utah","Arkansas","Texas A&M","Washington","William & Mary","Tulane","Florida","Clemson","Oregon St.","Ohio St.","Texas Tech","Notre Dame","Nebraska","SMU","Maryland","Syracuse","USC","Clemson","Duke","Iowa","Michigan St.","Minnesota","Wyoming","Alabama","Memphis","Georgia","Arizona St.","Iowa","Western Michigan","Penn St.","Texas-El Paso"
"Alabama","Trinity (CT)","Duquesne","Rice","Wisconsin","Oregon St.","Texas","Marquette","Minnesota","Purdue","Rice","Georgia Tech","Purdue","Washington & Lee","Texas-El Paso","Villanova","Oregon St.","Texas","UCLA","Oregon","Oklahoma","Florida","Buffalo","Texas A&M","Ohio St.","Baylor","North Texas","Northwestern","Wichita St.","Arizona St.","Nebraska","Kent St.","Washington","Nebraska-Omaha"
"Syracuse","Missouri","Duke","Ohio","Texas-El Paso","Mississippi St.","Hardin-Simmons","Ohio St.","Illinois St.","Notre Dame","Brown","Texas","Arizona","Oklahoma St.","Kentucky","Purdue","Arkansas","Florida","Notre Dame","California","Dayton","Pittsburgh","Idaho","Navy","North Carolina","New Mex. Highlands","LSU","LSU","Mississippi","Syracuse","San Jose St.","Michigan","Miss. Valley St.","Southern"
"Columbia","Washington","Utah","Notre Dame","Tennessee","Nebraska","Tulane","Auburn","Santa Clara","Denver","USC","Pennsylvania","Detroit Mercy","Oklahoma St.","Georgia","Maryland","Georgia","Kansas","San Diego St.","Ohio St.","Wisconsin–LaCrosse","Maryland","Miami (FL)","Oregon","San Jose St.","Washington","Penn St.","Penn St.","Texas A&M","Northwestern","Nebraska","Notre Dame","Texas-El Paso","Texas-El Paso"
